OriginCityMarketID,DestCityMarketID,Sum_of_Passengers,ID_Pair,Distance,Metro_Area_Name_Origin_,Metro_Area_Name_Dest_,State,FullName,OriginLat,OriginLon,DestLat,DestLon,Origin Rank,Destination Rank
30977,31123,49387,30977-31123,255.4906521,Chicago,St. Louis,MO,"St.Louis,MO",41.8375,-87.6866,38.6359,-90.2451,6,6
30977,31066,47954,30977-31066,292.258323,Chicago,Columbus,OH,"Columbus,OH",41.8375,-87.6866,39.9862,-82.9855,6,7
30977,30198,44225,30977-30198,410.1942009,Chicago,Pittsburgh,PA,"Pittsburgh,PA",41.8375,-87.6866,40.4397,-79.9763,6,8
30977,33105,38230,30977-33105,259.4209229,Chicago,Cincinnati,OH,"Cincinnati,OH",41.8375,-87.6866,39.1413,-84.506,6,9
30977,33316,36256,30977-33316,418.4176114,Chicago,Omaha,NE,"Omaha,NE",41.8375,-87.6866,41.2627,-96.0529,6,10
30194,31453,122361,30194-31453,232.3050549,Dallas,Houston,,,32.7935,-96.7667,29.786,-95.3885,7,1
30194,33214,82964,30194-33214,247,Dallas,San Antonio ,TX,"SanAntonio,TX",32.7935,-96.7667,29.4632,-98.5238,7,2
30194,30423,80241,30194-30423,189.7049646,Dallas,Austin,TX,"Austin,TX",32.7935,-96.7667,30.3005,-97.7522,7,3
30194,33495,57746,30194-33495,443.6166652,Dallas,New Orleans ,LA,"NewOrleans,LA",32.7935,-96.7667,30.0687,-89.9288,7,4
30194,33198,46731,30194-33198,460.361481,Dallas,Kansas City,MO,"KansasCity,MO",32.7935,-96.7667,39.1238,-94.5541,7,5
30194,34653,40062,30194-34653,237.2321658,Dallas,Tulsa,OK,"Tulsa,OK",32.7935,-96.7667,36.1283,-95.9042,7,6
30194,33851,39290,30194-33851,176.2648956,Dallas,Oklahoma City,OK,"OklahomaCity,OK",32.7935,-96.7667,35.4676,-97.5136,7,7
30194,33244,31773,30194-33244,429.3536878,Dallas,Memphis,TN,"Memphis,TN",32.7935,-96.7667,35.1087,-89.9663,7,8
30194,32896,31221,30194-32896,286.1397849,Dallas,Lubbock,TX,"Lubbock,TX",32.7935,-96.7667,33.5657,-101.8879,7,9
30194,33158,28245,30194-33158,312.3999489,Dallas,Midland,TX,"Midland,TX",32.7935,-96.7667,32.0243,-102.1147,7,10
32211,32575,238141,32211-32575,229.4284121,Las Vegas,LA/Inland Empire,,,36.2333,-115.2654,34.1141,-118.4068,8,1
32211,32457,191985,32211-32457,405.2644756,Las Vegas,Bay Area,,,36.2333,-115.2654,37.7558,-122.4449,8,2
32211,30466,66683,32211-30466,255.4372557,Las Vegas,Phoenix,,,36.2333,-115.2654,33.5722,-112.0892,8,3
32211,33570,64215,32211-33570,258,Las Vegas,San Diego,,,36.2333,-115.2654,32.8313,-117.1222,8,4
32211,34614,46090,32211-34614,368,Las Vegas,Salt Lake City,UT,"SaltLakeCity,UT",36.2333,-115.2654,40.7776,-111.9311,8,5
32211,33192,42146,32211-33192,397,Las Vegas,Sacremento,,,36.2333,-115.2654,38.5677,-121.4685,8,6
32211,34570,39562,32211-34570,345,Las Vegas,Reno,NV,"Reno,NV",36.2333,-115.2654,39.5497,-119.8483,8,7
32211,30140,15542,32211-30140,486,Las Vegas,Albuquerque,NM,"Albuquerque,NM",36.2333,-115.2654,35.1054,-106.6465,8,8
31703,30721,139916,31703-30721,188.3507802,New York,Boston/Providence,,,40.6943,-73.9249,42.3188,-71.0852,9,1
31703,30852,116443,31703-30852,214.7498105,New York,Washington D.C.,,,40.6943,-73.9249,38.9047,-77.0163,9,2
31703,31295,86731,31703-31295,497.5114009,New York,Detroit,,,40.6943,-73.9249,42.3834,-83.1024,9,3
31703,34492,68579,31703-34492,425.2658134,New York,Raleigh,,,40.6943,-73.9249,35.8324,-78.6429,9,4
31703,30792,38205,31703-30792,293.3601139,New York,Buffalo,NY,"Buffalo,NY",40.6943,-73.9249,42.9018,-78.8487,9,5
31703,30647,37590,31703-30647,412.3864636,New York,Akron,OH,"Akron,OH",40.6943,-73.9249,41.0798,-81.5219,9,6
31703,30198,36645,31703-30198,330.2766076,New York,Pittsburgh,PA,"Pittsburgh,PA",40.6943,-73.9249,40.4397,-79.9763,9,7
31703,31066,29122,31703-31066,474.67609,New York,Columbus,OH,"Columbus,OH",40.6943,-73.9249,39.9862,-82.9855,9,8
31703,34576,24021,31703-34576,255.8858218,New York,Rochester,NY,"Rochester,NY",40.6943,-73.9249,43.168,-77.6162,9,9
31703,34321,23333,31703-34321,275.1659389,New York,Portland,ME,"Portland,ME",40.6943,-73.9249,43.6773,-70.2715,9,10
31295,30852,87124,31295-30852,398.1076658,Detroit,Washington D.C.,,,42.3834,-83.1024,38.9047,-77.0163,10,1
31295,31703,86392,31295-31703,497.4085956,Detroit,New York,,,42.3834,-83.1024,40.6943,-73.9249,10,2
31295,30977,62139,31295-30977,232.736728,Detroit,Chicago,,,42.3834,-83.1024,41.8375,-87.6866,10,3
31295,31057,27877,31295-31057,500,Detroit,Charlotte ,,,42.3834,-83.1024,35.2083,-80.8303,10,4
31295,30693,26763,31295-30693,456,Detroit,Nashville,,,42.3834,-83.1024,36.1715,-86.7842,10,5
31295,34100,26671,31295-34100,453,Detroit,Philadelphia,,,42.3834,-83.1024,40.0077,-75.1339,10,6
31295,31123,18967,31295-31123,440,Detroit,St. Louis,MO,"St.Louis,MO",42.3834,-83.1024,38.6359,-90.2451,10,7
31295,31986,17791,31295-31986,120,Detroit,Grand Rapids,MI,"GrandRapids,MI",42.3834,-83.1024,42.9619,-85.6562,10,8
31295,33342,16099,31295-33342,237,Detroit,Milwaukee,WI,"Milwaukee,WI",42.3834,-83.1024,43.0642,-87.9675,10,9
30721,30852,251727,30721-30852,380.9771793,Boston/Providence,Washington D.C.,,,42.3188,-71.0852,38.9047,-77.0163,11,1
30721,31703,136168,30721-31703,188.3537471,Boston/Providence,New York,,,42.3188,-71.0852,40.6943,-73.9249,11,2
30721,34100,83348,30721-34100,270.0245698,Boston/Providence,Philadelphia,,,42.3188,-71.0852,40.0077,-75.1339,11,3
30721,30198,20176,30721-30198,495.7526882,Boston/Providence,Pittsburgh,PA,"Pittsburgh,PA",42.3188,-71.0852,40.4397,-79.9763,11,4
30466,32575,205232,30466-32575,350.4744548,Phoenix,LA/Inland Empire,,,33.5722,-112.0892,34.1141,-118.4068,12,1
30466,32211,68987,30466-32211,255.4302925,Phoenix,Las Vegas,,,33.5722,-112.0892,36.2333,-115.2654,12,2
30466,33570,66235,30466-33570,304,Phoenix,San Diego,,,33.5722,-112.0892,32.8313,-117.1222,12,3
30466,30140,30124,30466-30140,328,Phoenix,Albuquerque,NM,"Albuquerque,NM",33.5722,-112.0892,35.1054,-106.6465,12,4
30466,30615,20945,30466-30615,347,Phoenix,El Paso,TX,"ElPaso,TX",33.5722,-112.0892,31.8476,-106.43,12,5
30466,30436,18646,30466-30436,110,Phoenix,Tucson,AZ,"Tucson,AZ",33.5722,-112.0892,32.1541,-110.8787,12,6
31453,30194,120626,31453-30194,232.4567711,Houston,Dallas,,,29.786,-95.3885,32.7935,-96.7667,13,1
31453,33495,60315,31453-33495,303.8355047,Houston,New Orleans ,LA,"NewOrleans,LA",29.786,-95.3885,30.0687,-89.9288,13,2
31453,33214,42667,31453-33214,191.3606166,Houston,San Antonio ,TX,"SanAntonio,TX",29.786,-95.3885,29.4632,-98.5238,13,3
31453,30423,41949,31453-30423,142.751853,Houston,Austin,TX,"Austin,TX",29.786,-95.3885,30.3005,-97.7522,13,4
31453,33851,27086,31453-33851,404.0051724,Houston,Oklahoma City,OK,"OklahomaCity,OK",29.786,-95.3885,35.4676,-97.5136,13,5
31453,33158,23482,31453-33158,432.5547793,Houston,Midland,TX,"Midland,TX",29.786,-95.3885,32.0243,-102.1147,13,6
31453,34653,20404,31453-34653,437.0674412,Houston,Tulsa,OK,"Tulsa,OK",29.786,-95.3885,36.1283,-95.9042,13,7
